Experiment,Implementation,Sort Time (ms),Merge Time (ms),Materialization Time (ms),Total Runtime (ms),Peak Memory Used (bytes)
nr_small,original,3.13344,0.68688,0.00144,3.82176,437566211
nr_medium,original,3.0976,0.513728,4.11194,7.723268,638892803
nr_big,original,3.10877,0.513056,7.71216,11.334986,773110531
morecols_payload_1,original,1.65978,0.36448,0.00192,2.02618,218787587
morecols_payload_2,original,3.13549,0.699776,0.001664,3.83693,437566211
morecols_payload_3,original,6.1256,1.34208,0.001696,7.469376,875122435
ratio_0,original,3.12941,0.689856,0.00144,3.820706,437566211
ratio_1,original,4.59891,1.16429,0.001312,5.764512,740888323
ratio_2,original,7.60832,2.05178,0.001312,9.661412,1347532547
nr_small,ours,2.92966,4.23834,0.502688,7.670688,504460799
nr_medium,ours,2.90611,4.05309,3.84102,10.80022,638678527
nr_big,ours,2.90509,4.11955,7.18234,14.20698,772896255
morecols_payload_1,ours,1.57286,1.87104,0.273408,3.717308,252270079
morecols_payload_2,ours,2.90816,4.17075,0.50256,7.58147,504460799
morecols_payload_3,ours,5.69037,7.16394,0.97984,13.83415,1008842239
ratio_0,ours,2.93376,4.26803,0.501728,7.703518,504460799
ratio_1,ours,4.29875,4.35302,0.578336,9.230106,874624511
ratio_2,ours,7.07174,7.39123,0.735264,15.19823,1614952959
zipf_0,original,3.13549,0.701984,0.00144,3.838914,437566211
zipf_0.25,original,3.1232,0.699008,0.00128,3.823488,437566211
zipf_0.5,original,3.11296,0.695776,0.00128,3.80952,437566211
zipf_0.75,original,3.11517,0.69008,0.001312,3.806562,437566211
zipf_1,original,3.12179,0.679808,0.001344,3.803952,437566211
zipf_1.25,original,3.10262,0.651744,0.001312,3.755676,437566211
zipf_1.5,original,3.10579,0.633376,0.001312,3.74048,437566211
zipf_1.75,original,3.10973,0.626816,0.001312,3.737858,437566211
zipf_2,original,3.11277,0.613856,0.001312,3.728938,437566211
zipf_0,ours,2.93786,3.29011,0.388096,6.616066,504460799
zipf_0.25,ours,2.94093,3.24826,0.382976,6.572166,504460799
zipf_0.5,ours,2.93376,3.14675,0.363328,6.443838,504460799
zipf_0.75,ours,2.90816,2.80166,0.310272,6.019992,504460799
zipf_1,ours,2.91514,2.56922,0.185216,5.669576,504460799
zipf_1.25,ours,2.89984,2.44019,0.075584,5.415614,504460799
zipf_1.5,ours,2.89792,2.2999,0.04816,5.24598,504460799
zipf_1.75,ours,2.90099,2.1719,0.036864,5.109754,504460799
zipf_2,ours,2.90304,2.00602,0.034816,4.943376,504460799
